Hora,Descripción,Calendario,Ubicación,Fecha
12:00,Cambio de Guardia. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,31 de marzo de 2024
10:00,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,1 de abril de 2024
19:15,Juramentación de ministros de Estado. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,1 de abril de 2024
15:00,Reunión de trabajo con alcaldes y alcaldesas distritales y provinciales. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,2 de abril de 2024
08:35,Acompaña a ministros de Estado hasta el frontis de Palacio de Gobierno,previo a la presentación del Gabinete Ministerial para la solicitud del voto de confianza. Lugar: Palacio de Gobierno.,Calendario: Agenda Presidencial,Sin ubicación
12:50,Reunión con los alcaldes representantes de la Asociación de municipales distritales del Perú – AMUDIP. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,4 de abril de 2024
16:00,Pronunciamiento de la presidenta de la república,Dina Boluarte. Lugar: Palacio de Gobierno.,Calendario: Agenda Presidencial,Sin ubicación
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,6 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,7 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,8 de abril de 2024
17:00,Reunión con alcaldes de Arequipa. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,9 de abril de 2024
09:00,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,10 de abril de 2024
13:30,Promulgación de Ley que establece la creación de la Universidad Nacional Autónoma de Bellas Artes y la Universidad Nacional de Folklore José María Arguedas. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,10 de abril de 2024
17:00,Reunión con alcaldes. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,10 de abril de 2024
18:30,Reunión con el gobernador de Cajamarca,Roger Guevara; el alcalde de Bambamarca,Hernan Vásquez; la congresista Elva Julón,y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.
16:30,Reunión con la congresista Lady Camones,ministros de MVCS y del MEF,y alcaldes de Áncash. Lugar: Palacio de Gobierno.,Calendario: Agenda Presidencial
18:00,Reunión con el congresista José Jerí. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,11 de abril de 2024
08:00,Reunión con el presidente del Congreso y miembros de la Mesa Directiva del Congreso. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,12 de abril de 2024
12:00,Reunión con autoridades y alcaldes de Arequipa. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,12 de abril de 2024
15:00,Ceremonia de arribo de féretro del Mayor FAP Ramiro Rondón Medina. Lugar: Base Aérea Las Palmas. ,Agenda Presidencial,No especificado,13 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,14 de abril de 2024
07:25,Lanzamiento del Plan Hospitales Centenario. Lugar: Hospital Arzobispo Loayza.,Agenda Presidencial,No especificado,15 de abril de 2024
10:30,Diálogo con actores locales y de la comunidad internacional para revisar el Plan de Acción Saweto. Lugar: Palacio de Gobierno. ,Agenda Presidencial,No especificado,15 de abril de 2024
18:35,Reunión con congresistas y alcaldes de Piura. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,15 de abril de 2024
21:00,Reunión con el alcalde de Jesús Maria. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,15 de abril de 2024
12:25,Reunión de trabajo con la congresista Nilza Chacón,"representantes de colectivos ""Ningún Joven Menos"" y ""Pueblos en Acción"". Lugar: Palacio de Gobierno.",Calendario: Agenda Presidencial,Sin ubicación
15:30,Homenaje póstumo al Técnico 3° de Operaciones Especiales,Edgar Tiburcio Espinoza. Lugar: Grupo Aéreo N° 8.,Calendario: Agenda Presidencial,Sin ubicación
18:00,Suscripción del contrato de coproducción 4 unidades navales,entre SIMA Perú S.A. y HD Hyundai Heavy Industries. Lugar: Centro Naval del Perú,San Borja.,Calendario: Agenda Presidencial
09:00,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno. ,Agenda Presidencial,No especificado,17 de abril de 2024
18:00,Reunión con alcaldesas de Lima Metropolitana: Barranco,San Isidro,Pueblo Libre,Lince y Surquillo. Lugar: Palacio de Gobierno
19:00,Ceremonia por el 136° Aniversario de la Cámara de Comercio de Lima-CCL.,Agenda Presidencial,No especificado,18 de abril de 2024
08:00,Ceremonia de condecoración: Medalla al Defensor de la Democracia.,Agenda Presidencial,No especificado,19 de abril de 2024
12:54,Región La Libertad: Entrega de títulos de propiedad.,Agenda Presidencial,No especificado,19 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,20 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,21 de abril de 2024
12:00,Ceremonia por el XXVII Aniversario de la Operación Chavín de Huántar,Día del Valor Militar y Día de los Defensores de la Democracia. Lugar: Réplica de la Residencia del Embajador del Japón,Chorrillos.,Calendario: Agenda Presidencial
15:00,Reunión de trabajo con el alcalde de San Miguel,Eduardo Bless; premier; y titulares de la PCM,MEF y Mininter. Lugar: Palacio de Gobierno.,Calendario: Agenda Presidencial
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,24 de abril de 2024
16:00,Promulgación de la ley que crea la Universidad Nacional de Carabaya,en el distrito de Macusani,provincia de Carabaya,región Puno. Lugar: Palacio de Gobierno.
18:00,Premiación a los ganadores del PROINNÓVATE,que busca reconocer,impulsar y fortalecer el emprendimiento e innovación en el Perú,así como apoyar a las micro
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,26 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,27 de abril de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,28 de abril de 2024
16:00,Entrega de carnets de Conadis. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,29 de abril de 2024
18:30,Ceremonia por el 75.° aniversario del Ministerio de Trabajo y Promoción del Empleo. Lugar: San Borja..,Agenda Presidencial,No especificado,29 de abril de 2024
10:15,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,30 de abril de 2024
13:00,Ceremonia de suscripción del contrato de Estado a Estado para el servicio de asistencia técnica del Proyecto Chavimochic Tercera Etapa. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,30 de abril de 2024
09:50,Ceremonia de condecoración de la Orden del Trabajo 2024. Lugar: Palacio de Gobierno. ,Agenda Presidencial,No especificado,1 de mayo de 2024
11:45,Saludo de la presidenta Dina Boluarte con motivo del Día Internacional del Trabajador. Lugar: Palacio de Gobierno. ,Agenda Presidencial,No especificado,1 de mayo de 2024
12:00,Homenaje por el Día de la Mujer Policía. Lugar: Ministerio del Interior,San Isidro.,Calendario: Agenda Presidencial,Sin ubicación
12:30,Reunión con el gobernador regional de Lambayeque,congresistas de la región,y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.,Calendario: Agenda Presidencial
13:30,Reunión con el gobernador Regional de Piura. Lugar: Palacio de Gobierno.,Agenda Presidencial,No especificado,3 de mayo de 2024
Todo el día,No hubo actividades oficiales que registrar.,Agenda Presidencial,No especificado,4 de mayo de 2024
