"num_eventos,dia_semana,fecha",hora,descripción,"mes_ano,ano"
"1 evento, domingo, 28 de abril",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"2 eventos, lunes, 29 de abril",16:00,Entrega de carnets de Conadis. Lugar: Palacio de Gobierno.,Mayo de 2024
"2 eventos, lunes, 29 de abril",18:30,Ceremonia por el 75.° aniversario del Ministerio de Trabajo y Promoción del Empleo. Lugar: San Borja..,Mayo de 2024
"2 eventos, martes, 30 de abril",10:15,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Mayo de 2024
"2 eventos, martes, 30 de abril",13:00,Ceremonia de suscripción del contrato de Estado a Estado para el servicio de asistencia técnica del Proyecto Chavimochic Tercera Etapa. Lugar: Palacio de Gobierno.,Mayo de 2024
"2 eventos, miércoles, 1 de mayo",09:50,Ceremonia de condecoración de la Orden del Trabajo 2024. Lugar: Palacio de Gobierno.,Mayo de 2024
"2 eventos, miércoles, 1 de mayo",11:45,Saludo de la presidenta Dina Boluarte con motivo del Día Internacional del Trabajador. Lugar: Palacio de Gobierno.,Mayo de 2024
"1 evento, jueves, 2 de mayo",12:00,"Homenaje por el Día de la Mujer Policía. Lugar: Ministerio del Interior, San Isidro.",Mayo de 2024
"2 eventos, viernes, 3 de mayo",12:30,"Reunión con el gobernador regional de Lambayeque, congresistas de la región, y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.",Mayo de 2024
"2 eventos, viernes, 3 de mayo",13:30,Reunión con el gobernador Regional de Piura. Lugar: Palacio de Gobierno.,Mayo de 2024
"1 evento, sábado, 4 de mayo",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"1 evento, domingo, 5 de mayo",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"2 eventos, lunes, 6 de mayo",09:00,"Audiencia con la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala. Lugar: Palacio de Gobierno.",Mayo de 2024
"2 eventos, lunes, 6 de mayo",10:00,"Encuentro con mujeres emprendedoras y la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala. Lugar: Palacio de Gobierno.",Mayo de 2024
"4 eventos, martes, 7 de mayo",11:00,"Reunión con gobernador regional de Arequipa, participó también el ministro de Energía y Minas y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.",Mayo de 2024
"4 eventos, martes, 7 de mayo",12:00,Reconocimiento a los medallistas de los Juegos Bolivarianos de la Juventud 2024. Lugar: Estadio Nacional.,Mayo de 2024
"4 eventos, martes, 7 de mayo",16:00,"Llamada con el presidente electo de Panamá, José Raúl Mulino. Lugar: Palacio de Gobierno.",Mayo de 2024
"4 eventos, martes, 7 de mayo",17:00,Reunión con los alcaldes de la Mancomunidad Municipal del Callao. Lugar: Palacio de Gobierno.,Mayo de 2024
"3 eventos, miércoles, 8 de mayo",09:00,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Mayo de 2024
"3 eventos, miércoles, 8 de mayo",11:00,Reunión con representantes de la Cámara Peruana del Libro. Lugar: Palacio de Gobierno.,Mayo de 2024
"3 eventos, miércoles, 8 de mayo",15:00,Ceremonia de presentación de cartas credenciales de embajadores residentes de Argentina y España. Lugar: Palacio de Gobierno.,Mayo de 2024
"1 evento, jueves, 9 de mayo",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"2 eventos, viernes, 10 de mayo",08:30,"Inauguración del “Seminario Internacional: Constitución Política, Democracia y Valores Institucionales”. Lugar: Auditorio “Los Incas” del Ministerio de Cultura, San Borja.",Mayo de 2024
"2 eventos, viernes, 10 de mayo",14:00,Suscripción de convenio de cooperación interinstitucional entre el Minedu y Minsa. Lugar: Palacio de Gobierno.,Mayo de 2024
"1 evento, sábado, 11 de mayo",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"1 evento, domingo, 12 de mayo",N.A.,No hubo actividades oficiales que registrar.,Mayo de 2024
"1 evento, lunes, 13 de mayo",12:00,"Reunión con representantes de la Sociedad Nacional de Minería, Petróleo y Energía (SNMPE), además participó el ministro de Energía y Minas. Lugar: Palacio de Gobierno.",Mayo de 2024
"1 evento, martes, 14 de mayo",16:00,Entrega de 3000 títulos de propiedad para los programas de vivienda del ex fundo Oquendo en el Callao. Lugar: Callao.,Mayo de 2024
"2 eventos, miércoles, 15 de mayo",09:00,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,Mayo de 2024
"2 eventos, miércoles, 15 de mayo",13:30,Celebración del Día Nacional de las micro y pequeñas empresas. Lugar: Palacio de Gobierno,Mayo de 2024
"2 eventos, jueves, 16 de mayo",09:00,Inauguración del IV Consejo de Estado Regional. Lugar: San Borja.,Mayo de 2024
"2 eventos, jueves, 16 de mayo",14:00,Juramentación de ministro del Interior. Lugar: Palacio de Gobierno.,Mayo de 2024
