"num_eventos,dia_semana,fecha",hora,descripcion,lugar,mes_y_ano
"1 evento, domingo, 26 de mayo",13:00,Ceremonia de reconocimiento al personal policial que participó en el rescate de empresaria peruana,N.A.,Junio de 2024
"1 evento, lunes, 27 de mayo",N.A.,No hubo actividades oficiales que registrar,N.A.,Junio de 2024
"2 eventos, martes, 28 de mayo",15:00,"Lanzamiento de la feria ""Cosechando la Diversidad, Alimentando la Esperanza""",N.A.,Junio de 2024
"2 eventos, martes, 28 de mayo",19:00,Reunión con autoridades de Cajamarca,N.A.,Junio de 2024
"4 eventos, miércoles, 29 de mayo",09:00,Sesión de Consejo de Ministros,N.A.,Junio de 2024
"4 eventos, miércoles, 29 de mayo",14:00,"Ceremonia de firma de contrato entre el gobierno peruano, la Municipalidad Metropolitana de Lima y Panam Sports para la organización de Lima 2027",N.A.,Junio de 2024
"4 eventos, miércoles, 29 de mayo",18:00,Reunión con la congresista Karol Paredes y los alcaldes de la red de municipalidades de la región San Martin – REMURSAM,N.A.,Junio de 2024
"4 eventos, miércoles, 29 de mayo",20:00,Ceremonia de promulgación de ley que declara de interés la creación de la Universidad Nacional Fronteriza Autónoma de Yunguyo,N.A.,Junio de 2024
"1 evento, jueves, 30 de mayo",11:30,"Reunión con el presidente del Banco Central de Reserva, Julio Velarde",N.A.,Junio de 2024
"1 evento, viernes, 31 de mayo",10:00,Supervisión del primer simulacro nacional multipeligro 2024,N.A.,Junio de 2024
"1 evento, sábado, 1 de junio",N.A.,No hubo actividades oficiales que registrar,N.A.,Junio de 2024
"1 evento, domingo, 2 de junio",N.A.,No hubo actividades oficiales que registrar,N.A.,Junio de 2024
"1 evento, lunes, 3 de junio",N.A.,No hubo actividades oficiales que registrar,N.A.,Junio de 2024
"2 eventos, martes, 4 de junio",09:00,Inauguración de la I,E. 1235 Unión Latinoamericana. Lugar: La Molina,Junio de 2024
"2 eventos, martes, 4 de junio",12:00,Audiencia al presidente y miembros del Parlamento Amazónico - PARLAMAZ,Lugar: Palacio de Gobierno,Junio de 2024
"5 eventos, miércoles, 5 de junio",09:00,Consejo de Ministros,Lugar: Palacio de Gobierno,Junio de 2024
"5 eventos, miércoles, 5 de junio",12:00,Inauguración de la Escuela Bicentenario I,E. 6094 Santa Rosa. Lugar: Chorrillos,Junio de 2024
"5 eventos, miércoles, 5 de junio",17:00,Reunión con representantes de ADEX,Lugar: Palacio de Gobierno,Junio de 2024
