mes_ano,numero_eventos,dia_semana,fecha,Hora,descripcion,Lugar
Julio de 2024,1 evento,domingo,30 de junio,16:15,Llegada a Perú desde China,N.A.
Julio de 2024,1 evento,lunes,1 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,1 evento,martes,2 de julio,N.A.,No hubo oficiales oficiales qué registrar,N.A.
Julio de 2024,3 eventos,miércoles,3 de julio,09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,4 eventos,jueves,4 de julio,10:00,"Recibimiento a presidente de Ecuador, Daniel Noboa Azín",Lugar: Palacio de Gobierno
Julio de 2024,1 evento,viernes,5 de julio,10:00,41,° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco.
Julio de 2024,1 evento,sábado,6 de julio,07:00,Mensaje por el Día del Maestro,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,domingo,7 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,2 eventos,lunes,8 de julio,11:00,Reunión de trabajo con autoridades del Gobierno Regional de Ayacucho,Lugar: Palacios de Gobierno
Julio de 2024,1 evento,martes,9 de julio,11:30,Presentación del programa Llamkasun Perú 2024,Lugar: Coliseo cerrado Manuel A. Odría. Tarma. Junín
Julio de 2024,1 evento,miércoles,10 de julio,09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,jueves,11 de julio,15:00,Audiencia con parlamentarios de “Parlaméricas”,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,viernes,12 de julio,12:30,Reunión con organización Pro Amazonía,Lugar: Palacio de Gobierno.
Julio de 2024,1 evento,sábado,13 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,1 evento,domingo,14 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,2 eventos,lunes,15 de julio,10:15,Graduación extraordinaria de alféreces de la Escuela de Oficiales de la PNP,Lugar: Escuela de Oficiales de la PNP - Puente Piedra
Julio de 2024,3 eventos,martes,16 de julio,15:00,Homenaje a la Virgen del Cármen,Lugar: Palacio de Gobierno
Julio de 2024,3 eventos,miércoles,17 de julio,09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,3 eventos,jueves,18 de julio,11:00,Reunión con alcaldes provinciales y distritales de la región Junín,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,viernes,19 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,1 evento,sábado,20 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,1 evento,domingo,21 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,4 eventos,lunes,22 de julio,09:45,Ceremonia de despedida de los deportistas clasificados a los Juegos Paralímpicos París 2024,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,martes,23 de julio,11:15,Ceremonia por 83° Aniversario de la inmolación del capitán FAP José Abelardo Quiñones Gonzales y Día de la Fuerza Aérea del Perú,Lugar: Sede FAP - Santiago de Surco
Julio de 2024,1 evento,miércoles,24 de julio,09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,2 eventos,jueves,25 de julio,11:30,Ceremonia de lanzamiento de las becas APEC Ciudadano Microsoft,Lugar: Cancillería - Lima Cercado
Julio de 2024,2 eventos,viernes,26 de julio,10:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,1 evento,sábado,27 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,3 eventos,domingo,28 de julio,08:00,Misa Solemne y Te Deum,Lugar: Basílica Catedral de Lima
Julio de 2024,2 eventos,lunes,29 de julio,08:00,Ceremonia de Acción de Gracias por el Perú,Lugar: Misión Cristiana Camino de Vida - Santiago de Surco
Julio de 2024,1 evento,martes,30 de julio,N.A.,No hubo actividades oficiales qué registrar,N.A.
Julio de 2024,3 eventos,miércoles,31 de julio,09:00,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
Julio de 2024,Ningún evento,jueves,1 de agosto,N.A.,N.A.,N.A.
Julio de 2024,Ningún evento,viernes,2 de agosto,N.A.,N.A.,N.A.
Julio de 2024,Ningún evento,sábado,3 de agosto,N.A.,N.A.,N.A.
