"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"1 evento, domingo, 30 de junio",16:15,Julio de 2024,2024,Llegada a Perú desde China,N.A.
"1 evento, lunes, 1 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"1 evento, martes, 2 de julio",N.A.,Julio de 2024,2024,No hubo oficiales oficiales qué registrar,N.A.
"3 eventos, miércoles, 3 de julio",09:00,Julio de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
"3 eventos, miércoles, 3 de julio",12:00,Julio de 2024,2024,Suscripción de contratos de concesión de hospitales EsSalud en Piura y Chimbote,Lugar: Palacio de Gobierno.
"3 eventos, miércoles, 3 de julio",18:00,Julio de 2024,2024,Firma de acuerdo comercial entre Senam Perú SAC y Korea Aerospace Industries (KAI),Lugar: Complejo Deportivo FAP. Surco
"4 eventos, jueves, 4 de julio",10:00,Julio de 2024,2024,"Recibimiento a presidente de Ecuador, Daniel Noboa Azín",Lugar: Palacio de Gobierno
"4 eventos, jueves, 4 de julio",10:15,Julio de 2024,2024,Encuentro Presidencial y XV Gabinete Binacional de Ministros Perú-Ecuador,N.A.
"4 eventos, jueves, 4 de julio",13:45,Julio de 2024,2024,Suscripción de la Declaración presidencial de Lima,Lugar: Palacio de Gobierno
"4 eventos, jueves, 4 de julio",18:00,Julio de 2024,2024,Promulgación de la ley que crea la Universidad Nacional Fronteriza Autónoma de Yunguyo en Puno,Lugar: Palacio de Gobierno.
"1 evento, viernes, 5 de julio",10:00,Julio de 2024,2024,41,° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco.
"1 evento, sábado, 6 de julio",07:00,Julio de 2024,2024,Mensaje por el Día del Maestro,Lugar: Palacio de Gobierno
"1 evento, domingo, 7 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"2 eventos, lunes, 8 de julio",11:00,Julio de 2024,2024,Reunión de trabajo con autoridades del Gobierno Regional de Ayacucho,Lugar: Palacios de Gobierno
"2 eventos, lunes, 8 de julio",17:30,Julio de 2024,2024,Balance de la Visita de Estado a China,Lugar: Palacio de Gobierno
"1 evento, martes, 9 de julio",11:30,Julio de 2024,2024,Presentación del programa Llamkasun Perú 2024,Lugar: Coliseo cerrado Manuel A. Odría. Tarma. Junín
"1 evento, miércoles, 10 de julio",09:00,Julio de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
"1 evento, jueves, 11 de julio",15:00,Julio de 2024,2024,Audiencia con parlamentarios de “Parlaméricas”,Lugar: Palacio de Gobierno
"1 evento, viernes, 12 de julio",12:30,Julio de 2024,2024,Reunión con organización Pro Amazonía,Lugar: Palacio de Gobierno.
"1 evento, sábado, 13 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"1 evento, domingo, 14 de julio",N.A.,Julio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"2 eventos, lunes, 15 de julio",10:15,Julio de 2024,2024,Graduación extraordinaria de alféreces de la Escuela de Oficiales de la PNP,Lugar: Escuela de Oficiales de la PNP - Puente Piedra
"2 eventos, lunes, 15 de julio",14:00,Julio de 2024,2024,Foro Internacional sobre delincuencia organizada transnacional,Lugar: Cancillería
"3 eventos, martes, 16 de julio",15:00,Julio de 2024,2024,Homenaje a la Virgen del Cármen,Lugar: Palacio de Gobierno
"3 eventos, martes, 16 de julio",16:00,Julio de 2024,2024,Ceremonia de despedida de deportistas clasificados a los Juegos Olímpicos,Lugar: Palacio de Gobierno
"3 eventos, martes, 16 de julio",17:00,Julio de 2024,2024,Reunión con alcaldes de la región La Libertad,Lugar: Palacio de Gobierno
