num_eventos;dia_semana;fecha;ultima_palabra_fecha;hora;descripción;anio;mes_ano,ano;;
1 evento; domingo; 28 de abril;abril;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024; 2;28
2 eventos; lunes; 29 de abril;abril;16:00;Entrega de carnets de Conadis. Lugar: Palacio de Gobierno.;2024;Mayo de 2024; 2;29
2 eventos; lunes; 29 de abril;abril;18:30;Ceremonia por el 75.° aniversario del Ministerio de Trabajo y Promoción del Empleo. Lugar: San Borja..;2024;Mayo de 2024; 2;29
2 eventos; martes; 30 de abril;abril;10:15;Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.;2024;Mayo de 2024; 3;30
2 eventos; martes; 30 de abril;abril;13:00;Ceremonia de suscripción del contrato de Estado a Estado para el servicio de asistencia técnica del Proyecto Chavimochic Tercera Etapa. Lugar: Palacio de Gobierno.;2024;Mayo de 2024; 3;30
1 evento; lunes; 1 de julio;julio;N.A.;No hubo actividades oficiales qué registrar;2024;Junio de 2024; 1;1d
1 evento; martes; 2 de julio;julio;N.A.;No hubo oficiales oficiales qué registrar;2024;Junio de 2024; 2;2d
3 eventos; miércoles; 3 de julio;julio;09:00;Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; miércoles; 3 de julio;julio;12:00;Suscripción de contratos de concesión de hospitales EsSalud en Piura y Chimbote. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
3 eventos; miércoles; 3 de julio;julio;18:00;Firma de acuerdo comercial entre Senam Perú SAC y Korea Aerospace Industries (KAI). Lugar: Complejo Deportivo FAP. Surco;2024;Junio de 2024;;
4 eventos; jueves; 4 de julio;julio;10:00;Recibimiento a presidente de Ecuador, Daniel Noboa Azín. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
4 eventos; jueves; 4 de julio;julio;10:15;Encuentro Presidencial y XV Gabinete Binacional de Ministros Perú-Ecuador;2024;Junio de 2024;;
4 eventos; jueves; 4 de julio;julio;13:45;Suscripción de la Declaración presidencial de Lima. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
4 eventos; jueves; 4 de julio;julio;18:00;Promulgación de la ley que crea la Universidad Nacional Fronteriza Autónoma de Yunguyo en Puno. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
1 evento; viernes; 5 de julio;julio;10:00;41.° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco.;2024;Junio de 2024;;
1 evento; sábado; 6 de julio;julio;07:00;Mensaje por el Día del Maestro. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
1 evento; sábado; 1 de junio;junio;N.A.;No hubo actividades oficiales que registrar.;2024;Junio de 2024;;
1 evento; domingo; 2 de junio;junio;N.A.;No hubo actividades oficiales que registrar.;2024;Junio de 2024;;
1 evento; lunes; 3 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
2 eventos; martes; 4 de junio;junio;09:00;Inauguración de la I.E. 1235 Unión Latinoamericana. Lugar: La Molina;2024;Junio de 2024;;
2 eventos; martes; 4 de junio;junio;12:00;Audiencia al presidente y miembros del Parlamento Amazónico - PARLAMAZ. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
5 eventos; miércoles; 5 de junio;junio;09:00;Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
5 eventos; miércoles; 5 de junio;junio;12:00;Inauguración de la Escuela Bicentenario I.E. 6094 Santa Rosa. Lugar: Chorrillos;2024;Junio de 2024;;
5 eventos; miércoles; 5 de junio;junio;17:00;Reunión con representantes de ADEX. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
5 eventos; miércoles; 5 de junio;junio;18:00;Ceremonia de firma de leyes para impulsar el desarrollo y competitividad del sector portuario. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
5 eventos; miércoles; 5 de junio;junio;19:00;Comunidades Nativas del Parque Nacional del Manu. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
1 evento; jueves; 6 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
1 evento; viernes; 7 de junio;junio;10:00;Ceremonia por el 144° aniversario de la Batalla de Arica y renovación del juramento de fidelidad a la Bandera. Lugar: Cercado de Lima;2024;Junio de 2024;;
1 evento; sábado; 8 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
1 evento; domingo; 9 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
3 eventos; lunes; 10 de junio;junio;09:00;Inauguración del nuevo Centro de Servicios al Contribuyente de Sunat. Lugar: Ate;2024;Junio de 2024;;
3 eventos; lunes; 10 de junio;junio;11:00;Inauguración de la séptima Escuela Bicentenario, I.E. 0083 San Juan Macías. Lugar: San Luis;2024;Junio de 2024;;
3 eventos; lunes; 10 de junio;junio;19:00;Reunión con autoridades de Chota y congresista Segundo Quiroz;2024;Junio de 2024;;
1 evento; martes; 11 de junio;junio;12:00;Reunión de trabajo con congresistas en temas de educación y producción. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
2 eventos; miércoles; 12 de junio;junio;09:00;Inauguración de la Escuela Bicentenario I.E. 1221 María Parado de Bellido. Lugar: Santa Anita;2024;Junio de 2024;;
2 eventos; miércoles; 12 de junio;junio;12:00;Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; jueves; 13 de junio;junio;10:00;Sesión ordinaria del Consejo de Seguridad y Defensa Nacional - COSEDENA. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; jueves; 13 de junio;junio;16:00;Reunión de trabajo con autoridades de la región Apurímac. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; jueves; 13 de junio;junio;19:00;128° Aniversario de la Sociedad Nacional de Industrias - SNI. Lugar: San Isidro;2024;Junio de 2024;;
1 evento; viernes; 14 de junio;junio;12:00;Inspección a los avances de obra del Terminal Portuario de Chancay. Lugar: Huaral.;2024;Junio de 2024;;
1 evento; sábado; 15 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
1 evento; domingo; 16 de junio;junio;N.A.;No hubo actividades oficiales que registrar;2024;Junio de 2024;;
1 evento; lunes; 17 de junio;junio;11:00;Reunión con GORE y alcaldes de la región Cusco. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
1 evento; martes; 18 de junio;junio;15:00;II sesión ordinaria 2024 del Consejo Nacional de Seguridad Ciudadana. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
2 eventos; miércoles; 19 de junio;junio;09:00;Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
2 eventos; miércoles; 19 de junio;junio;17:00;Reunión con el Presidente y CEO de DP World (DPW), Sultán Ahmed bin Sulayem. Lugar: Palacio de Gobierno;2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;04:45;"Operativo ""Amanecer Seguro"" a nivel nacional. Lugar: Dirección de Aviación Policial";2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;10:00;Inauguración del Muelle Bicentenario. Lugar: Callao;2024;Junio de 2024;;
3 eventos; jueves; 20 de junio;junio;12:30;Reunión con la Sociedad Nacional de Industrias. Lugar: Palacio de Gobierno.;2024;Junio de 2024;;
2 eventos; viernes; 21 de junio;junio;08:15;"Intervención multisectorial ""El Perú se abriga - Frío cero"". Lugar: Villa María del Triunfo";2024;Junio de 2024;;
2 eventos; viernes; 21 de junio;junio;12:30;"Ceremonia por el 59.° aniversario de ""Los Sinchis"". Lugar: Mazamari, Junín.";2024;Junio de 2024;;
