"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion_lugar,fecha_extraida
"1 evento, domingo, 31 de marzo",12:00,Abril de 2024,2024,Cambio de Guardia. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, lunes, 1 de abril",10:00,Abril de 2024,2024,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, lunes, 1 de abril",19:15,Abril de 2024,2024,Juramentación de ministros de Estado. Lugar: Palacio de Gobierno.,N.A.
"1 evento, martes, 2 de abril",15:00,Abril de 2024,2024,Reunión de trabajo con alcaldes y alcaldesas distritales y provinciales. Lugar: Palacio de Gobierno.,N.A.
"1 evento, miércoles, 3 de abril",08:35,Abril de 2024,2024,"Acompaña a ministros de Estado hasta el frontis de Palacio de Gobierno, previo a la presentación del Gabinete Ministerial para la solicitud del voto de confianza. Lugar: Palacio de Gobierno.",N.A.
"1 evento, jueves, 4 de abril",12:50,Abril de 2024,2024,Reunión con los alcaldes representantes de la Asociación de municipales distritales del Perú – AMUDIP. Lugar: Palacio de Gobierno.,N.A.
"1 evento, viernes, 5 de abril",16:00,Abril de 2024,2024,"Pronunciamiento de la presidenta de la república, Dina Boluarte. Lugar: Palacio de Gobierno.",N.A.
"1 evento, sábado, 6 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, domingo, 7 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, lunes, 8 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, martes, 9 de abril",17:00,Abril de 2024,2024,Reunión con alcaldes de Arequipa. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, miércoles, 10 de abril",09:00,Abril de 2024,2024,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, miércoles, 10 de abril",13:30,Abril de 2024,2024,Promulgación de Ley que establece la creación de la Universidad Nacional Autónoma de Bellas Artes y la Universidad Nacional de Folklore José María Arguedas. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, miércoles, 10 de abril",17:00,Abril de 2024,2024,Reunión con alcaldes. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, miércoles, 10 de abril",18:30,Abril de 2024,2024,"Reunión con el gobernador de Cajamarca, Roger Guevara; el alcalde de Bambamarca, Hernan Vásquez; la congresista Elva Julón, y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.",N.A.
"2 eventos, jueves, 11 de abril",16:30,Abril de 2024,2024,"Reunión con la congresista Lady Camones, ministros de MVCS y del MEF, y alcaldes de Áncash. Lugar: Palacio de Gobierno.",N.A.
"2 eventos, jueves, 11 de abril",18:00,Abril de 2024,2024,Reunión con el congresista José Jerí. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, viernes, 12 de abril",08:00,Abril de 2024,2024,Reunión con el presidente del Congreso y miembros de la Mesa Directiva del Congreso. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, viernes, 12 de abril",12:00,Abril de 2024,2024,Reunión con autoridades y alcaldes de Arequipa. Lugar: Palacio de Gobierno.,N.A.
"1 evento, sábado, 13 de abril",15:00,Abril de 2024,2024,Ceremonia de arribo de féretro del Mayor FAP Ramiro Rondón Medina. Lugar: Base Aérea Las Palmas.,N.A.
"1 evento, domingo, 14 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"4 eventos, lunes, 15 de abril",07:25,Abril de 2024,2024,Lanzamiento del Plan Hospitales Centenario. Lugar: Hospital Arzobispo Loayza.,N.A.
"4 eventos, lunes, 15 de abril",10:30,Abril de 2024,2024,Diálogo con actores locales y de la comunidad internacional para revisar el Plan de Acción Saweto. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, lunes, 15 de abril",18:35,Abril de 2024,2024,Reunión con congresistas y alcaldes de Piura. Lugar: Palacio de Gobierno.,N.A.
"4 eventos, lunes, 15 de abril",21:00,Abril de 2024,2024,Reunión con el alcalde de Jesús Maria. Lugar: Palacio de Gobierno.,N.A.
"3 eventos, martes, 16 de abril",12:25,Abril de 2024,2024,"Reunión de trabajo con la congresista Nilza Chacón, representantes de colectivos ""Ningún Joven Menos"" y ""Pueblos en Acción"". Lugar: Palacio de Gobierno.",N.A.
"3 eventos, martes, 16 de abril",15:30,Abril de 2024,2024,"Homenaje póstumo al Técnico 3° de Operaciones Especiales, Edgar Tiburcio Espinoza. Lugar: Grupo Aéreo N° 8.",N.A.
"3 eventos, martes, 16 de abril",18:00,Abril de 2024,2024,"Suscripción del contrato de coproducción 4 unidades navales, entre SIMA Perú S.A. y HD Hyundai Heavy Industries. Lugar: Centro Naval del Perú, San Borja.",N.A.
"2 eventos, miércoles, 17 de abril",09:00,Abril de 2024,2024,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, miércoles, 17 de abril",18:00,Abril de 2024,2024,"Reunión con alcaldesas de Lima Metropolitana: Barranco, San Isidro, Pueblo Libre, Lince y Surquillo. Lugar: Palacio de Gobierno",N.A.
"1 evento, jueves, 18 de abril",19:00,Abril de 2024,2024,Ceremonia por el 136° Aniversario de la Cámara de Comercio de Lima-CCL.,N.A.
"2 eventos, viernes, 19 de abril",08:00,Abril de 2024,2024,Ceremonia de condecoración: Medalla al Defensor de la Democracia.,N.A.
"2 eventos, viernes, 19 de abril",12:54,Abril de 2024,2024,Región La Libertad: Entrega de títulos de propiedad.,N.A.
"1 evento, sábado, 20 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, domingo, 21 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, lunes, 22 de abril",12:00,Abril de 2024,2024,"Ceremonia por el XXVII Aniversario de la Operación Chavín de Huántar, Día del Valor Militar y Día de los Defensores de la Democracia. Lugar: Réplica de la Residencia del Embajador del Japón, Chorrillos.",N.A.
"1 evento, martes, 23 de abril",15:00,Abril de 2024,2024,"Reunión de trabajo con el alcalde de San Miguel, Eduardo Bless; premier; y titulares de la PCM, MEF y Mininter. Lugar: Palacio de Gobierno.",N.A.
"1 evento, miércoles, 24 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"2 eventos, jueves, 25 de abril",16:00,Abril de 2024,2024,"Promulgación de la ley que crea la Universidad Nacional de Carabaya, en el distrito de Macusani, provincia de Carabaya, región Puno. Lugar: Palacio de Gobierno.",N.A.
"2 eventos, jueves, 25 de abril",18:00,Abril de 2024,2024,"Premiación a los ganadores del PROINNÓVATE, que busca reconocer, impulsar y fortalecer el emprendimiento e innovación en el Perú, así como apoyar a las micro, pequeñas y medianas empresas. Lugar: Palacio de Gobierno.",N.A.
"1 evento, viernes, 26 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, sábado, 27 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"1 evento, domingo, 28 de abril",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
"2 eventos, lunes, 29 de abril",16:00,Abril de 2024,2024,Entrega de carnets de Conadis. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, lunes, 29 de abril",18:30,Abril de 2024,2024,Ceremonia por el 75.° aniversario del Ministerio de Trabajo y Promoción del Empleo. Lugar: San Borja..,N.A.
"2 eventos, martes, 30 de abril",10:15,Abril de 2024,2024,Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, martes, 30 de abril",13:00,Abril de 2024,2024,Ceremonia de suscripción del contrato de Estado a Estado para el servicio de asistencia técnica del Proyecto Chavimochic Tercera Etapa. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, miércoles, 1 de mayo",09:50,Abril de 2024,2024,Ceremonia de condecoración de la Orden del Trabajo 2024. Lugar: Palacio de Gobierno.,N.A.
"2 eventos, miércoles, 1 de mayo",11:45,Abril de 2024,2024,Saludo de la presidenta Dina Boluarte con motivo del Día Internacional del Trabajador. Lugar: Palacio de Gobierno.,N.A.
"1 evento, jueves, 2 de mayo",12:00,Abril de 2024,2024,"Homenaje por el Día de la Mujer Policía. Lugar: Ministerio del Interior, San Isidro.",N.A.
"2 eventos, viernes, 3 de mayo",12:30,Abril de 2024,2024,"Reunión con el gobernador regional de Lambayeque, congresistas de la región, y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.",N.A.
"2 eventos, viernes, 3 de mayo",13:30,Abril de 2024,2024,Reunión con el gobernador Regional de Piura. Lugar: Palacio de Gobierno.,N.A.
"1 evento, sábado, 4 de mayo",N.A.,Abril de 2024,2024,No hubo actividades oficiales que registrar.,N.A.
