Texto Completo
julio de 2024
DOMINGO
LUNES
MARTES
MIÉRCOLES
JUEVES
VIERNES
SÁBADO
"16:15, Llegada a Perú desde China, Calendario: Agenda Presidencial, Sin ubicación, 30 de junio de 2024"
"Todo el día, No hubo actividades oficiales qué registrar, Calendario: Agenda Presidencial, Sin ubicación, 1 de julio de 2024"
"Todo el día, No hubo oficiales oficiales qué registrar, Calendario: Agenda Presidencial, Sin ubicación, 2 de julio de 2024"
"09:00, Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 3 de julio de 2024"
"12:00, Suscripción de contratos de concesión de hospitales EsSalud en Piura y Chimbote. Lugar: Palacio de Gobierno., Calendario: Agenda Presidencial, Sin ubicación, 3 de julio de 2024"
"18:00, Firma de acuerdo comercial entre Senam Perú SAC y Korea Aerospace Industries (KAI). Lugar: Complejo Deportivo FAP. Surco , Calendario: Agenda Presidencial, Sin ubicación, 3 de julio de 2024"
"10:00, Recibimiento a presidente de Ecuador, Daniel Noboa Azín. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 4 de julio de 2024"
"10:15, Encuentro Presidencial y XV Gabinete Binacional de Ministros Perú-Ecuador, Calendario: Agenda Presidencial, Sin ubicación, 4 de julio de 2024"
"13:45, Suscripción de la Declaración presidencial de Lima. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 4 de julio de 2024"
"18:00, Promulgación de la ley que crea la Universidad Nacional Fronteriza Autónoma de Yunguyo en Puno. Lugar: Palacio de Gobierno., Calendario: Agenda Presidencial, Sin ubicación, 4 de julio de 2024"
"10:00, 41.° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco., Calendario: Agenda Presidencial, Sin ubicación, 5 de julio de 2024"
"07:00, Mensaje por el Día del Maestro. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 6 de julio de 2024"
"Todo el día, No hubo actividades oficiales qué registrar, Calendario: Agenda Presidencial, Sin ubicación, 7 de julio de 2024"
"11:00, Reunión de trabajo con autoridades del Gobierno Regional de Ayacucho. Lugar: Palacios de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 8 de julio de 2024"
"17:30, Balance de la Visita de Estado a China. Lugar: Palacio de Gobierno, Calendario: Agenda Presidencial, Sin ubicación, 8 de julio de 2024"
